3.504901084572553671e-01,3.158546612938970544e-01,3.304298998775577756e-01,3.598460851346597100e-01,3.405698110657956468e-01,3.465156631042815571e-01,3.334154079072140231e-01,3.298742869451689042e-01,3.308078343610175165e-01,3.469741112645674530e-01
3.047822675809549464e-01,3.536569551611901674e-01,3.112738007163086684e-01,3.317790846736842769e-01,3.337488941213276883e-01,3.299657520706829050e-01,3.557731447720904328e-01,3.320206158824297038e-01,3.283262866457603568e-01,3.344567566905972678e-01
3.155110528177749174e-01,3.127670036695942013e-01,3.376789324648418744e-01,3.114024504890046119e-01,3.407195010950891945e-01,3.257638259377519385e-01,3.308047697896692729e-01,3.481309499483649095e-01,3.342182566749511419e-01,3.242313549621099189e-01
3.161481624390733436e-01,3.248116373477072383e-01,3.051934244256841455e-01,3.357699667297204815e-01,3.114951036355891323e-01,3.244770141450876166e-01,3.227999717913674349e-01,3.201434570606696006e-01,3.423263522888891353e-01,3.348542719426931269e-01
3.150291857941056595e-01,3.087008362154209928e-01,3.266721802351044701e-01,3.088011699404681898e-01,3.368314514869908405e-01,3.186186054305047977e-01,3.442269166173492767e-01,3.604484855928150600e-01,3.439241055708567862e-01,3.481715714167197273e-01
3.241371950333821195e-01,3.092397184957597078e-01,3.104304979909832118e-01,3.335620636144243090e-01,3.354616911649101474e-01,3.432090680149816886e-01,3.482208251654228537e-01,3.455194186507127285e-01,3.563218877822701969e-01,3.513894437117843772e-01
3.441894672110695219e-01,3.431120346740464955e-01,3.255021333409537365e-01,3.308633843729890667e-01,3.475536106613745790e-01,3.296661810443724527e-01,3.435732765387428667e-01,3.578460243960295273e-01,3.507487457034496048e-01,3.554805825589457124e-01
3.224525297949299985e-01,3.264995921587465211e-01,3.316795578694577973e-01,3.328746163525950763e-01,3.221272260117715724e-01,3.312747834370622924e-01,3.261846818806631854e-01,3.290037297058997501e-01,3.300687178187952653e-01,3.367463023383476806e-01
3.315468532511040567e-01,3.082207822579159928e-01,3.135376347345190107e-01,3.289094739546988277e-01,3.336562438347226434e-01,3.298146160464059395e-01,3.447849462967435552e-01,3.369474446039137372e-01,3.321724094175670938e-01,3.365014081514176580e-01
3.383997786410055664e-01,3.215105911700671393e-01,3.214612929304355715e-01,3.331688280059330598e-01,3.267243742689953656e-01,3.313467351625316026e-01,3.355958523788918901e-01,3.480544000429581231e-01,3.524780776135962856e-01,3.573976854108314449e-01
